"title","description","url","category"
"pdb отладка","Интерактивный дебаггер Python","https://docs.python.org/3/library/pdb.html","Python"
"Генерация пароля","openssl rand -base64 12","","Terminal"
"Очистка кэша pip","pip cache purge","","Python"
"Быстрый HTTP-сервер","python -m http.server 8000","","Python"
"Переименование файлов","Массовая смена расширения","","Terminal"
"Проверка порта","lsof -i :8080","","Linux"
"Клонирование ветки","git clone --single-branch","","Git"
"Отмена коммита","git reset --soft HEAD-1","","Git"
"Сжатие коммитов","git rebase -i HEAD-5","","Git"
"Логи Docker","docker logs -f --tail 100","","Docker"
"Вход в контейнер","docker exec -it /bin/bash","","Docker"
"Удаление контейнеров","docker container prune","","Docker"
"Удаление образов","docker image prune","","Docker"
"Пересборка без кэша","docker-compose build --no-cache","","Docker"
"Копирование из контейнера","docker cp container:/path ./","","Docker"
"IP контейнера","docker inspect -f IPAddress","","Docker"
"Запуск PostgreSQL","docker run --name pg -e POSTGRES_PASSWORD=pass","","Docker"
"Port-forward в K8s","kubectl port-forward pod/pod-name 5432:5432","","Kubernetes"
"События кластера","kubectl get events --sort-by","","Kubernetes"
"Перезапуск deployment","kubectl rollout restart","","Kubernetes"
"Проверка RBAC","kubectl auth can-i list pods","","Kubernetes"
"Создание секрета","kubectl create secret generic","","Kubernetes"
"Логи pod","kubectl logs -f pod","","Kubernetes"
"Применить манифесты","kubectl apply -f ./manifests","","Kubernetes"
"Установить Helm","helm install my-release","","Kubernetes"
"Обновить Helm","helm upgrade my-release","","Kubernetes"
"Поиск пакетов","apt-cache search keyword","","Linux"
"Свободное место","df -h","","Linux"
"Размер папки","du -sh /path","","Linux"
"Поиск файлов","find / -name *.log","","Linux"
"Поиск текста","grep -r error /var/log","","Linux"
"Замена текста","sed -i s/old/new/g","","Linux"
"Убить процесс","pkill -f process_name","","Linux"
"Создать тестовый файл","fallocate -l 1G test.img","","Linux"
"Мониторинг сети","iftop или nethogs","","Linux"
"Открытые порты","netstat -tulpn","","Linux"
"Копирование по SSH","rsync -avz --progress","","Linux"
"Архивация","tar -czvf archive.tar.gz --exclude","","Linux"
"Поднять WireGuard","wg-quick up wg0","","Linux"
"Проверка DNS","dig example.com","","Linux"
"Пинг с интервалом","ping -i 0.5 google.com","","Linux"
"Системные логи","journalctl -f -u service","","Linux"
"Часовой пояс","timedatectl set-timezone","","Linux"
"Добавить пользователя","useradd -m -s /bin/bash","","Linux"
"Смена владельца","chown -R user:group /path","","Linux"
"Права доступа","chmod -R 755 dir","","Linux"
"Установка Python 3.10","Скачать и собрать из source","https://www.python.org/downloads/","Python"
"Создание venv","python3 -m venv venv","","Python"
"Активация venv","source venv/bin/activate","","Python"
"Установка требований","pip install -r requirements.txt","","Python"
"Заморозка зависимостей","pip freeze greater requirements.txt","","Python"
"Проверка стиля","flake8 --max-line-length=120","","Python"
"Автоформатирование","black .","","Python"
"Сортировка импортов","isort .","","Python"
"Запуск тестов","pytest -v --cov=myapp","","Python"
"Профилирование","python -m cProfile script.py","","Python"
"Логирование вместо print","import logging","","Python"
"Асинхронный sleep","await asyncio.sleep(0.1)","","Python"
"Парсинг JSON","json.loads(data)","","Python"
"Дата в строку","datetime.now().isoformat","","Python"
"Уникальный ID","uuid.uuid4().hex[:8]","","Python"
"Кэширование","@lru_cache(maxsize=128)","","Python"
"Итерация словаря","for key value in dict.items","","Python"
"Объединение словарей","dict1 и dict2","","Python"
"Распаковка списка","a, *rest = [1,2,3,4]","","Python"
"Использование enumerate","for i item in enumerate(list)","","Python"
"Проверка ключа","if key in dict","","Python"
"Pathlib","Path('dir/file.txt').read_text","","Python"
"Временные файлы","tempfile.NamedTemporaryFile","","Python"
"HTTP запрос","requests.get(url timeout=5)","","Python"
"Обработка ошибок","try except конкретный класс","","Python"
"Dataclass","@dataclass вместо __init__","","Python"
"Типизация","mypy --strict myapp.py","","Python"
"Flask","Минимальный веб-фреймворк","https://flask.palletsprojects.com/","Python"
"FastAPI","Rest API с автодокументацией","https://fastapi.tiangolo.com/","Python"
"SQLAlchemy","ORM для Python","https://www.sqlalchemy.org/","Python"
"Psycopg2","Подключение к PostgreSQL","","Python"
"SQL запрос","cursor.execute SELECT","","SQL"
"Параметризованный запрос","Защита от SQL-инъекций","","SQL"
"Создание индекса","CREATE INDEX","","SQL"
"JOIN таблиц","SELECT FROM t1 JOIN t2","","SQL"
"GROUP BY","Агрегация данных","","SQL"
"HAVING","Фильтрация после GROUP BY","","SQL"
"Подзапросы","SELECT WHERE IN","","SQL"
"Обновление записей","UPDATE table SET","","SQL"
"Удаление дубликатов","DELETE WHERE id NOT IN","","SQL"
"Резервное копирование","pg_dump dbname","","DevOps"
"Восстановление","psql dbname < backup.sql","","DevOps"
"Проверка YAML","yamllint file.yaml","","DevOps"
"JSON в YAML","python -c with yaml и json","","DevOps"
"Сборка Docker","docker build -t myapp","","Docker"
"Запуск с монтированием","docker run -v /host:/container","","Docker"
"Сети Docker","docker network ls","","Docker"
"Создание сети","docker network create mynet","","Docker"
"Подключение к сети","docker network connect","","Docker"
"Docker Compose","Описание сервисов в yml","","Docker"
"Перезапуск compose","docker-compose restart","","Docker"
"Логи compose","docker-compose logs -f","","Docker"
"Команда в контейнере","docker-compose exec service bash","","Docker"
"Healthcheck","HEALTHCHECK CMD curl","","Docker"
"SSL сертификат","mkcert localhost","","Security"
"Проверка портов","nmap -p- localhost","","Security"
"Хеширование","hashlib.sha256","","Python"
"Сравнение строк","hmac.compare_digest","","Python"
"Переменные окружения","os.getenv KEY default","","Python"
"Установка переменной","export MY_VAR=value","","Terminal"
"Просмотр окружения","env","","Terminal"
"Окружение в compose","environment или env_file","","Docker"
"Секреты в K8s","Secret как переменная или том","","Kubernetes"
"Проверка kubectl","kubectl version --client","","Kubernetes"
"Создание namespace","kubectl create namespace myns","","Kubernetes"
"Переключение контекста","kubectl config use-context","","Kubernetes"
"Все ресурсы","kubectl get all -n myns","","Kubernetes"
"Удаление pod","kubectl delete pod --force","","Kubernetes"
"Описание pod","kubectl describe pod","","Kubernetes"
"Масштабирование","kubectl scale --replicas=3","","Kubernetes"
"Обновление образа","kubectl set image","","Kubernetes"
"Откат версии","kubectl rollout undo","","Kubernetes"
"Kubernetes API proxy","kubectl proxy --port=8080","","Kubernetes"
